HDI Rank (2015),Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
38,Chile,0.7,0.71,0.718,0.713,0.7190000000000001,0.728,0.735,0.742,0.748,0.755,0.7609999999999999,0.768,0.775,0.7809999999999999,0.79,0.7959999999999999,0.797,0.804,0.816,0.815,0.82,0.826,0.831,0.841,0.845,0.847
45,Argentina,0.705,0.713,0.72,0.725,0.728,0.731,0.738,0.746,0.753,0.764,0.7709999999999999,0.7759999999999999,0.77,0.775,0.78,0.782,0.7879999999999999,0.792,0.794,0.802,0.816,0.8220000000000001,0.823,0.825,0.826,0.8270000000000001
54,Barbados,0.7140000000000001,0.716,0.716,0.72,0.725,0.7290000000000001,0.733,0.738,0.7340000000000001,0.741,0.75,0.7490000000000001,0.753,0.757,0.7609999999999999,0.7659999999999999,0.7709999999999999,0.775,0.779,0.7809999999999999,0.78,0.785,0.792,0.7929999999999999,0.794,0.795
54,Uruguay,0.6920000000000001,0.6970000000000001,0.7,0.703,0.7090000000000001,0.711,0.7170000000000001,0.727,0.735,0.738,0.742,0.746,0.747,0.75,0.753,0.7559999999999999,0.76,0.77,0.774,0.777,0.78,0.784,0.7879999999999999,0.7909999999999999,0.794,0.795
58,Bahamas,,,,,,,,,,,0.779,0.7809999999999999,0.7829999999999999,0.784,0.7859999999999999,0.7879999999999999,0.79,0.7909999999999999,0.7909999999999999,0.7879999999999999,0.7879999999999999,0.789,0.79,0.789,0.79,0.792
60,Panama,0.662,0.669,0.6759999999999999,0.682,0.685,0.691,0.695,0.7020000000000001,0.71,0.716,0.721,0.725,0.728,0.733,0.74,0.7440000000000001,0.743,0.75,0.755,0.7559999999999999,0.758,0.765,0.773,0.78,0.785,0.7879999999999999
62,Antigua and Barbuda,,,,,,,,,,,,,,,,0.773,0.7809999999999999,0.7859999999999999,0.7879999999999999,0.7829999999999999,0.782,0.778,0.7809999999999999,0.782,0.784,0.7859999999999999
65,Trinidad and Tobago,0.67,0.6709999999999999,0.6709999999999999,0.6729999999999999,0.677,0.682,0.688,0.696,0.703,0.7090000000000001,0.715,0.721,0.7290000000000001,0.736,0.745,0.7509999999999999,0.76,0.767,0.773,0.772,0.774,0.772,0.773,0.778,0.779,0.78
66,Costa Rica,0.653,0.6579999999999999,0.667,0.6729999999999999,0.679,0.684,0.687,0.693,0.6990000000000001,0.7020000000000001,0.708,0.7120000000000001,0.715,0.7190000000000001,0.723,0.727,0.7340000000000001,0.74,0.747,0.7490000000000001,0.752,0.758,0.762,0.768,0.775,0.7759999999999999
68,Cuba,0.6759999999999999,0.67,0.6629999999999999,0.6559999999999999,0.652,0.654,0.665,0.669,0.672,0.679,0.6859999999999999,0.6920000000000001,0.6940000000000001,0.705,0.7190000000000001,0.732,0.754,0.7709999999999999,0.782,0.784,0.78,0.778,0.773,0.772,0.773,0.775
71,Venezuela (Bolivarian Republic of),0.634,0.644,0.65,0.653,0.654,0.6579999999999999,0.66,0.664,0.667,0.67,0.672,0.684,0.688,0.687,0.7,0.7140000000000001,0.728,0.745,0.754,0.754,0.7559999999999999,0.767,0.77,0.7709999999999999,0.769,0.767
74,Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,0.741,0.746,0.7490000000000001,0.7559999999999999,0.762,0.765
77,Mexico,0.648,0.652,0.6559999999999999,0.662,0.6679999999999999,0.67,0.6759999999999999,0.6829999999999999,0.6890000000000001,0.6940000000000001,0.7,0.703,0.708,0.7140000000000001,0.7190000000000001,0.723,0.731,0.735,0.738,0.7390000000000001,0.745,0.748,0.753,0.754,0.758,0.762
79,Grenada,,,,,,,,,,,,,,,,,,,,,0.741,0.7440000000000001,0.746,0.7490000000000001,0.7509999999999999,0.754
79,Brazil,0.611,0.615,0.622,0.631,0.64,0.649,0.6559999999999999,0.664,0.6709999999999999,0.677,0.685,0.6920000000000001,0.6990000000000001,0.695,0.6940000000000001,0.698,0.7,0.7040000000000001,0.7140000000000001,0.716,0.7240000000000001,0.73,0.7340000000000001,0.747,0.754,0.754
87,Peru,0.613,0.616,0.616,0.621,0.632,0.642,0.647,0.654,0.664,0.674,0.677,0.6859999999999999,0.6859999999999999,0.685,0.6920000000000001,0.693,0.696,0.7,0.706,0.708,0.721,0.725,0.731,0.735,0.737,0.74
89,Ecuador,0.643,0.6459999999999999,0.65,0.654,0.6579999999999999,0.662,0.664,0.6679999999999999,0.6709999999999999,0.6679999999999999,0.67,0.675,0.679,0.682,0.688,0.693,0.696,0.698,0.7020000000000001,0.703,0.71,0.7170000000000001,0.725,0.737,0.7390000000000001,0.7390000000000001
92,Saint Lucia,,,,,,,,,,,0.684,0.6809999999999999,0.684,0.6859999999999999,0.6890000000000001,0.6940000000000001,0.7070000000000001,0.71,0.7170000000000001,0.7240000000000001,0.733,0.735,0.7340000000000001,0.723,0.735,0.735
94,Jamaica,0.6509999999999999,0.6559999999999999,0.6579999999999999,0.667,0.669,0.6709999999999999,0.675,0.677,0.6779999999999999,0.682,0.68,0.69,0.6940000000000001,0.6890000000000001,0.706,0.7090000000000001,0.7140000000000001,0.718,0.721,0.721,0.722,0.725,0.727,0.727,0.7290000000000001,0.73
95,Colombia,0.5920000000000001,0.595,0.606,0.613,0.62,0.626,0.635,0.643,0.65,0.65,0.653,0.6559999999999999,0.659,0.6579999999999999,0.6579999999999999,0.669,0.675,0.6829999999999999,0.691,0.695,0.7,0.7070000000000001,0.7120000000000001,0.72,0.7240000000000001,0.727
96,Dominica,,,,,,,,,,,0.695,0.6990000000000001,0.698,0.7040000000000001,0.703,0.705,0.711,0.7140000000000001,0.72,0.721,0.722,0.722,0.721,0.7240000000000001,0.7240000000000001,0.726
97,Suriname,,,,,,,,,,,,,,,0.672,0.6779999999999999,0.684,0.691,0.696,0.7,0.7040000000000001,0.708,0.7190000000000001,0.722,0.723,0.725
99,Saint Vincent and the Grenadines,,,,,,,,,,,0.6729999999999999,0.677,0.682,0.6890000000000001,0.6920000000000001,0.695,0.7020000000000001,0.7040000000000001,0.7090000000000001,0.711,0.7120000000000001,0.713,0.7170000000000001,0.72,0.72,0.722
99,Dominican Republic,0.596,0.601,0.61,0.617,0.622,0.628,0.634,0.64,0.645,0.6509999999999999,0.6559999999999999,0.66,0.665,0.6659999999999999,0.6679999999999999,0.677,0.685,0.6920000000000001,0.695,0.6970000000000001,0.703,0.706,0.7090000000000001,0.7120000000000001,0.718,0.722
103,Belize,0.648,0.6509999999999999,0.655,0.6559999999999999,0.66,0.662,0.659,0.6609999999999999,0.6609999999999999,0.6679999999999999,0.677,0.6779999999999999,0.684,0.691,0.695,0.6920000000000001,0.7,0.6990000000000001,0.7,0.7,0.7,0.7020000000000001,0.706,0.705,0.706,0.706
